state,FIPS,unemployment,incomeLevel,votes Dem percent, votes Rep percent
OK,40151,LOW,LOW,0.1421555252387449,0.8035470668485676
OK,40153,HIGH,LOW,0.11501386504687706,0.8357322065231745
OR,41001,HIGH,LOW,0.2100483547588159,0.7265007665998349
OR,41003,LOW,LOW,0.6238014788160695,0.28588981284419773
OR,41005,LOW,NORMAL,0.4951629551543901,0.43408222427197257
OR,41007,LOW,LOW,0.4900870139883247,0.4292322943055403
OR,41009,HIGH,NORMAL,0.39713681859871597,0.5170873708976352
OR,41011,HIGH,LOW,0.34309665021039726,0.586428547761837
OR,41013,HIGH,LOW,0.22263275476886063,0.7207423956006187
OR,41015,HIGH,LOW,0.3496670229384198,0.588423908575187
OR,41017,LOW,NORMAL,0.44402985074626866,0.48206084959816303
OR,41019,HIGH,LOW,0.27051606621226876,0.6643037974683544
OR,41021,LOW,LOW,0.23585912486659552,0.6744930629669157
OR,41023,HIGH,LOW,0.1754974826180772,0.7640853512347159
OR,41025,HIGH,LOW,0.17714285714285713,0.7542857142857143
OR,41027,LOW,LOW,0.6124434171241452,0.3104112491572763
OR,41029,LOW,LOW,0.4196013064968349,0.511451117170413
OR,41031,HIGH,LOW,0.325895875591616,0.6014198782961461
OR,41033,HIGH,LOW,0.3103043672118837,0.6238002487503813
OR,41035,HIGH,LOW,0.2421340629274966,0.6898084815321477
OR,41037,HIGH,LOW,0.16465652857891977,0.786837965390666
OR,41039,LOW,LOW,0.5550112662366351,0.3656998321109835
OR,41041,LOW,LOW,0.5117536925317245,0.4119409194924069
OR,41043,LOW,LOW,0.3189825305167751,0.5972333893721219
OR,41045,LOW,LOW,0.22241206030150754,0.7176884422110553
OR,41047,LOW,LOW,0.44044438828923144,0.49037940868560703
OR,41049,LOW,LOW,0.25169215342191026,0.6763599899724242
OR,41051,LOW,NORMAL,0.7595943672050134,0.17624845567723793
OR,41053,LOW,LOW,0.4250877666756684,0.49508506616257086
OR,41055,LOW,LOW,0.20549338758901323,0.7385554425228891
OR,41057,LOW,LOW,0.42990724681396575,0.48910338586833574
OR,41059,LOW,LOW,0.28587838872721705,0.6423265431153315
OR,41061,LOW,LOW,0.25840352988367427,0.6721219414360209
OR,41063,HIGH,LOW,0.2626286808714388,0.6763227196552549
OR,41065,LOW,LOW,0.4118745000444405,0.5084881343880544
OR,41067,LOW,NORMAL,0.5939560581638897,0.32712016342432576
OR,41069,LOW,LOW,0.19318181818181818,0.7361111111111112
OR,41071,LOW,NORMAL,0.4130463693589857,0.5006871176522741
PA,42001,LOW,LOW,0.29863379863379863,0.6629258772115915
PA,42003,LOW,LOW,0.5644157948172576,0.4003401884096503
PA,42005,HIGH,LOW,0.2249556591998949,0.7447940616172897
PA,42007,HIGH,LOW,0.3824206690621995,0.5830381092160535
PA,42009,LOW,LOW,0.15371851599727707,0.8277314499659633
PA,42011,LOW,LOW,0.427256812213671,0.5291416099219025
PA,42013,LOW,LOW,0.2516481193180726,0.7154471544715447
PA,42015,HIGH,LOW,0.2465845112012284,0.7069963384385212
PA,42017,LOW,NORMAL,0.4841639129876347,0.47836075335987766
PA,42019,LOW,NORMAL,0.291588338205092,0.6670651004596477
PA,42021,HIGH,LOW,0.2958099955124902,0.6732926687386773
PA,42023,HIGH,LOW,0.2317193675889328,0.7386363636363636
PA,42025,HIGH,LOW,0.3104696911667421,0.6515789840186623
PA,42027,LOW,LOW,0.48485290606679576,0.465541024484707
PA,42029,LOW,HIGH,0.5257634911883947,0.43348072473062627
PA,42031,HIGH,LOW,0.24346433270407872,0.7176362908300441
PA,42033,HIGH,LOW,0.23553162853297444,0.7313410008564787
PA,42035,HIGH,LOW,0.30547880584945075,0.6537502527124469
PA,42037,LOW,LOW,0.3134146791020017,0.6409481328565636
PA,42039,HIGH,LOW,0.2872367348086494,0.6723842195540308
